id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Morning Breeze,Luna Harbor,folk,relaxed,0.36,88,0.69,0.58,0.78
12,Electric Pulse,Neon Echo,electropop,upbeat,0.87,126,0.90,0.85,0.10
13,Deep Forest,Dusk Bloom,ambient,calm,0.25,65,0.52,0.40,0.91
14,City Neon,LoRoom,synthwave,moody,0.78,116,0.55,0.72,0.24
15,Horizon Drifters,Indigo Parade,indie pop,happy,0.70,118,0.83,0.80,0.33
16,Workout Anthem,Max Pulse,pop,intense,0.95,140,0.74,0.89,0.08
17,Study Zen,Paper Lanterns,lofi,focused,0.38,76,0.57,0.61,0.82
18,Smooth Streets,Slow Stereo,jazz,relaxed,0.44,94,0.65,0.55,0.84